0,1,2,3,index
True,False,False,False,40
False,False,False,True,192
False,False,True,False,218
True,False,False,False,230
False,False,True,True,237
True,False,False,False,364
False,True,False,False,394
True,False,False,False,455
False,False,True,False,526
False,False,True,False,536
False,True,False,False,609
False,True,False,False,646
True,False,False,False,666
False,True,False,False,694
False,False,True,False,708
False,False,False,True,735
False,True,False,False,838
False,False,False,True,855
False,False,False,True,987
