0,1,2,3,4,index
True,False,False,False,False,43
False,False,True,False,False,47
False,False,True,False,False,55
False,True,False,False,False,70
False,False,False,False,True,86
False,False,False,True,False,104
True,False,False,False,False,157
True,False,False,False,False,288
False,False,True,False,False,329
False,True,False,False,False,335
False,True,False,False,False,383
False,False,False,False,True,451
False,True,False,False,False,525
True,False,False,False,False,665
False,False,False,False,True,705
False,False,True,False,False,706
False,False,True,False,False,747
False,False,False,True,False,790
False,False,False,True,False,795
False,False,False,True,False,864
False,False,False,False,True,873
True,False,False,False,False,878
False,True,False,False,False,936
False,False,False,False,True,942
False,False,False,True,False,959
