0,1,2,3,4,5,index
False,True,False,False,False,False,8
False,False,False,False,False,True,32
True,False,False,False,False,False,42
False,False,True,False,False,False,185
False,True,False,False,False,False,234
True,False,False,False,False,True,289
False,False,False,True,False,False,343
False,False,True,False,False,False,390
False,False,False,False,True,False,432
False,False,True,False,False,False,436
True,False,False,False,False,False,528
False,False,False,False,False,True,549
False,True,False,False,False,False,551
True,False,False,False,False,False,604
True,False,False,False,False,False,619
False,False,False,False,False,True,652
False,False,False,False,True,False,676
False,True,False,False,False,False,680
False,False,True,False,False,False,685
False,False,False,False,True,False,742
False,False,False,True,False,False,750
False,False,False,True,False,False,771
False,False,False,True,False,False,788
False,False,False,False,False,True,814
False,False,True,False,False,False,886
False,False,False,True,False,False,903
False,False,False,False,True,False,930
False,True,False,False,False,False,939
False,False,False,False,True,False,978
