0,1,2,3,4,5,6,index
True,False,False,False,False,False,False,10
False,False,False,False,False,False,True,35
False,True,False,False,False,False,False,39
False,True,False,False,False,False,False,44
False,False,False,False,True,False,False,53
False,True,False,False,False,False,False,102
False,False,False,True,False,False,False,106
True,False,False,False,False,False,False,138
False,False,True,False,False,False,False,151
False,False,False,False,False,True,False,181
True,False,False,False,False,False,False,184
False,False,False,True,False,False,False,245
False,False,False,False,True,False,False,262
True,False,False,False,False,False,False,270
False,False,False,True,False,False,False,287
False,False,False,False,False,True,False,338
False,False,False,False,True,False,False,377
False,False,False,False,False,False,True,441
False,False,False,True,False,False,False,451
False,False,True,False,False,False,False,467
False,False,False,False,False,True,False,493
False,False,False,False,False,False,True,525
False,False,False,True,False,False,False,554
False,False,False,False,True,False,False,622
False,False,True,False,False,False,False,709
False,False,True,False,False,False,False,726
False,False,False,False,False,False,True,754
False,False,False,False,False,True,False,800
False,False,False,False,False,False,True,806
False,False,False,False,True,False,False,816
False,True,False,False,False,False,False,844
False,False,False,False,False,True,False,889
False,True,False,False,False,False,False,964
True,False,False,False,False,False,False,966
False,False,True,False,False,False,False,996
