0,1,2,3,4,5,6,7,index
True,False,False,False,False,False,False,False,33
False,False,False,True,False,False,False,False,35
False,False,False,False,False,False,True,False,46
False,False,False,False,False,True,False,False,73
True,False,False,False,False,False,False,False,88
False,False,False,False,True,False,False,False,137
False,False,False,False,False,True,False,False,226
False,False,True,False,False,False,False,False,267
False,False,False,False,False,False,True,False,281
False,False,False,False,False,False,True,False,292
False,True,False,False,False,False,False,False,308
True,False,False,False,False,False,False,False,309
False,False,False,False,False,False,False,True,323
False,False,False,False,False,False,False,True,333
False,False,False,True,False,False,False,False,389
False,False,False,True,False,False,False,False,422
False,True,False,False,False,False,False,False,508
False,False,False,True,False,False,False,False,528
False,False,False,False,True,False,False,False,538
False,False,False,False,False,False,False,True,547
False,True,False,False,False,False,False,False,572
False,False,False,False,True,False,False,False,573
False,False,False,False,False,False,False,True,581
False,True,False,False,False,False,False,False,597
False,False,True,False,False,False,True,False,600
False,False,False,False,True,False,False,False,609
False,False,True,False,False,False,False,False,622
False,False,False,True,False,False,False,False,771
False,False,False,False,False,True,False,False,776
True,False,False,False,False,True,False,False,781
False,False,True,False,False,False,False,False,831
False,False,True,False,False,False,False,False,847
True,True,False,False,True,False,False,False,883
False,False,False,False,False,False,False,True,927
False,False,False,False,False,False,True,False,948
False,False,False,False,False,True,False,False,988
